counterfactual_variant,macro_step_id,date,code_id,source_prob,source_trigger,alpha,action_l1_shift,market_gate,daily_steps,portfolio_value
learned_context_no_bad_penalty_hidden_direction,58,2023-01-17,5,0.068872137046873,False,0.0010328399948775768,1.0950490832328796e-05,0.926797034903158,5,991928.83557415
learned_context_no_bad_penalty_hidden_direction,59,2023-01-24,0,0.07807671797674143,False,0.0007721069850958884,8.07642936706543e-06,0.906665134811174,5,1003658.8664714276
learned_context_no_bad_penalty_hidden_direction,60,2023-01-31,5,0.10393903659512213,False,0.0011111461790278554,1.1928379535675049e-05,0.7638737884428047,5,1013713.2637205855
learned_context_no_bad_penalty_hidden_direction,61,2023-02-07,5,0.07056622586554737,False,0.0011715998407453299,1.3278797268867493e-05,0.787432246798089,5,1008256.789435563
learned_context_no_bad_penalty_hidden_direction,62,2023-02-14,0,0.07763850940725954,False,0.0007883804501034319,8.631497621536255e-06,0.7356194013626159,5,1014016.000900754
learned_context_no_bad_penalty_hidden_direction,63,2023-02-22,5,0.13337660374429003,False,0.00102449138648808,1.0760501027107239e-05,0.7820767209935002,5,990278.6705282256
learned_context_no_bad_penalty_hidden_direction,64,2023-02-27,3,0.0453611429960027,False,0.0009806896559894085,1.138634979724884e-05,0.8545355315339577,3,980772.803727991
learned_context_random_labels_hidden_direction,0,2022-01-07,5,0.06714001408263616,False,0.0005235687713138759,5.792826414108276e-06,0.7836782658100129,5,999670.3157708612
learned_context_random_labels_hidden_direction,1,2022-01-14,5,0.10350933672924244,False,0.0002784745302051306,3.2223761081695557e-06,0.7233010433300893,5,999080.9498417599
learned_context_random_labels_hidden_direction,2,2022-01-21,5,0.1070126525124473,False,0.00028060984914191067,3.1888484954833984e-06,0.5875947296911627,4,998413.1874400066
learned_context_random_labels_hidden_direction,3,2022-01-24,3,0.028826030336966017,False,0.0002139034477295354,2.551823854446411e-06,0.5424193179881928,1,998470.7356727666
learned_context_random_labels_hidden_direction,4,2022-01-25,3,0.05726095866397287,False,0.0001582650002092123,1.9241124391555786e-06,0.5458944775119078,1,998467.8383341429
learned_context_random_labels_hidden_direction,5,2022-02-01,3,0.03604468509057659,False,0.0006037611747160554,7.1339309215545654e-06,0.5488237492790137,5,999647.7483427627
learned_context_random_labels_hidden_direction,6,2022-02-08,3,0.07261576625302757,False,0.012164227664470673,0.00011761859059333801,0.6689884529210595,5,1000094.6560226826
learned_context_random_labels_hidden_direction,7,2022-02-15,6,0.1121466696293237,False,0.0019556372426450253,1.990795135498047e-05,0.7468366545774288,5,998213.514215377
learned_context_random_labels_hidden_direction,8,2022-02-23,5,0.07618880418460267,False,0.00017231111996807158,2.1513551473617554e-06,0.6557879690163293,5,994052.6631888238
learned_context_random_labels_hidden_direction,9,2022-03-02,3,0.03677156090460973,False,0.00020098885579500347,2.507120370864868e-06,0.566238885403416,5,995664.7095774075
learned_context_random_labels_hidden_direction,10,2022-03-09,3,0.046002443030880316,False,0.000992762972600758,1.0760501027107239e-05,0.5778280182424369,5,993541.5183559378
learned_context_random_labels_hidden_direction,11,2022-03-16,3,0.04881542707549891,False,0.0008477983647026122,1.0035932064056396e-05,0.6300838737266438,5,999387.2014870159
learned_context_random_labels_hidden_direction,12,2022-03-23,7,0.07720128994001185,False,0.08079897612333298,0.000758778303861618,0.5735653025035046,5,1000785.7260137445
learned_context_random_labels_hidden_direction,13,2022-03-29,6,0.09156805557117023,False,0.009061676450073719,9.733811020851135e-05,0.6815689908007492,4,1005196.0953751248
learned_context_random_labels_hidden_direction,14,2022-04-05,4,0.2889066653771757,True,0.0005212518153712153,4.976987838745117e-06,0.6849978943015633,5,999161.8727027106
learned_context_random_labels_hidden_direction,15,2022-04-12,5,0.09154118599397604,False,0.0002860877139028162,3.155320882797241e-06,0.6783880753893134,5,998999.0662540614
learned_context_random_labels_hidden_direction,16,2022-04-20,6,0.09311060411166662,False,0.0003344169235788286,3.6545097827911377e-06,0.6906146610241881,5,999615.7162015716
learned_context_random_labels_hidden_direction,17,2022-04-26,5,0.09737690650893506,False,0.0001854404399637133,2.117827534675598e-06,0.5745972816174334,4,982729.2289974515
learned_context_random_labels_hidden_direction,18,2022-04-27,3,0.05291195699322465,False,0.0010862754425033927,1.2716278433799744e-05,0.5246139858598998,1,989852.3303673706
learned_context_random_labels_hidden_direction,19,2022-05-04,3,0.045555351089699284,False,0.0020104271825402975,2.2741034626960754e-05,0.5458792423178112,5,979373.1243999981
learned_context_random_labels_hidden_direction,20,2022-05-11,3,0.08989214827083776,False,0.0013634942006319761,1.4619901776313782e-05,0.5681782440297699,5,965488.8760827857
learned_context_random_labels_hidden_direction,21,2022-05-17,3,0.022400579508228227,False,0.0012507477076724172,1.4998018741607666e-05,0.5945670758994129,4,962483.6023563488
learned_context_random_labels_hidden_direction,22,2022-05-24,3,0.07075871784320455,False,0.0038169228937476873,4.15705144405365e-05,0.5290880429047479,5,967788.936540547
learned_context_random_labels_hidden_direction,23,2022-05-26,3,0.0458696200642694,False,0.018106790259480476,0.00019273534417152405,0.6226556144935267,2,982136.0852782757
learned_context_random_labels_hidden_direction,24,2022-06-03,7,0.03881143428891251,False,0.08614259213209152,0.0008257441222667694,0.6327495179580277,5,981231.4573872797
learned_context_random_labels_hidden_direction,25,2022-06-10,6,0.07045288113554271,False,0.0022584060207009315,2.4830922484397888e-05,0.667165603956444,5,945876.0311866034
learned_context_random_labels_hidden_direction,26,2022-06-13,3,0.059502887544889804,False,0.0014553609071299434,1.6707926988601685e-05,0.5138773146527965,1,943926.5452345009
learned_context_random_labels_hidden_direction,27,2022-06-21,3,0.04834514682202149,False,0.0036565165501087904,4.3604522943496704e-05,0.5132744065842776,5,947355.1638509204
learned_context_random_labels_hidden_direction,28,2022-06-27,3,0.029551052188469745,False,0.001068086945451796,1.2133270502090454e-05,0.5907039198503973,4,952106.0564341128
