arm,source_code,target_code,eta,n,source_prob_delta_mean,source_prob_delta_p95_abs,target_prob_delta_mean,primitive_switch_rate,action_l1_shift_mean_proxy,action_l1_shift_p95_proxy,raw_action_l2_shift_mean_proxy,action_l1_shift_mean_exact,action_l1_shift_p95_exact,raw_action_l2_shift_mean_exact,logprob_delta_mean_exact,entropy_delta_mean_exact,cash_q_sum_deviation_p95_proxy,mahalanobis_p95_pct,knn_p95_pct,pca_recon_p95_pct,ae_recon_p95_pct,density_p95_pct,ood_max_p95_pct,directionality_gate,policy_output_gate_proxy,policy_output_gate_exact,portfolio_behavior_gate_proxy,ood_safety_gate,no_immediate_risk_blowup_gate_proxy,exact_policy_forward_available,eligible_stage55_proxy,eligible_stage55_exact,status,blocked_exact_reason,obs_ood_max_p95_pct,latent_ood_max_p95_pct
logit_action_mean,0,2,1.0,527,,,,,0.1260541478781045,0.20908370782670216,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
input_level,0,2,1.0,527,-0.004010073789317186,0.007489554519904598,0.006845128988787097,0.07969639468690702,0.006351446142628704,0.009832663647830484,0.07710745421536903,0.006351446142628704,0.009832663647830484,0.07710745421536903,0.01795939928666464,-0.01778943172215963,,0.9267399267399268,0.9154179154179154,0.8997668997668997,0.8897768897768897,0.8721278721278721,0.9583749583749583,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9583749583749583
hidden_direction,1,,0.25,789,-0.0046781398026772385,0.005537115434287698,,0.011406844106463879,0.001614512003688418,0.0016145120036885133,0.014986960947753314,0.0014471464987527887,0.0014754973351955413,0.014994689399147517,-0.0016966216615548757,0.00251137621049192,2.220446049250313e-16,0.8684648684648661,0.8531468531468531,0.8931068931068931,0.9010989010989003,0.8191808191808192,0.9287379287379287,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,1,,0.25,789,-0.004145730014004287,0.005105343794754552,,0.016476552598225603,0.002400469927936418,0.0024004699279365146,0.022556482265808784,0.0022714282887667907,0.002495891228318214,0.02256791158585192,-0.004245409947384446,0.006796823557187698,1.1102230246251565e-16,0.8684648684648661,0.8531468531468531,0.8947718947718948,0.9017649017649012,0.8191808191808192,0.9300699300699301,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
input_level,1,,0.25,789,-0.0016360638734763831,0.00222378139840701,,0.011406844106463879,0.001990589600042245,0.0026236828416585922,0.03470840614586502,0.001990589600042245,0.0026236828416585922,0.03470840614586502,-0.00875911059941629,0.00877211151316441,,0.8684648684648661,0.8531468531468531,0.8897768897768897,0.9017649017649012,0.8191808191808192,0.9237429237429238,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9024309024309004,0.9237429237429238
hidden_direction,1,7,0.25,789,-0.006368152516458335,0.00754427662219484,0.0006129683836739687,0.011406844106463879,0.0032132872809263664,0.003213287280926423,0.047138935235141545,0.004062701859458318,0.004567858204245565,0.04716061543394706,0.006187704881636664,-0.0069971894432232255,1.1102230246251565e-16,0.869463869463867,0.8598068598068598,0.8914418914418915,0.9004329004328996,0.8255078255078255,0.9343989343989344,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,1,7,0.25,789,-0.005668354526645425,0.006978069751528121,0.0005932120503361026,0.011406844106463879,0.0023509203683902496,0.0023509203683902864,0.030987063198825052,0.0030349743386071898,0.0032445702701807016,0.030997496787623913,0.002401862005468255,-0.0008539023357048083,1.1102230246251565e-16,0.8684648684648661,0.8581418581418582,0.8947718947718948,0.9014319014319003,0.8288378288378289,0.9343989343989344,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
logit_action_mean,1,7,0.25,789,,,,,0.04507797917747037,0.06230710836223735,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
input_level,1,7,0.25,789,-0.0026277129673797643,0.0038419760463561325,5.0614892334736274e-05,0.019011406844106463,0.00369203175655336,0.0051095858216285706,0.06548489215671638,0.00369203175655336,0.0051095858216285706,0.06548489215671638,-0.017043545218928233,0.016512185448476116,,0.8658008658008637,0.8564768564768565,0.8897768897768897,0.9030969030969028,0.8221778221778222,0.9287379287379287,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9024309024309004,0.9287379287379287
hidden_direction,1,2,0.25,789,-0.0016676822038222971,0.002271359425731423,0.0023480351377024866,0.015209125475285171,0.0027200188150906697,0.002720018815090708,0.039850089633699196,0.0028635949245801595,0.003370049223303791,0.0398647927729878,0.009089297063752574,-0.010813685273338482,1.1102230246251565e-16,0.8681318681318662,0.8531468531468531,0.8947718947718948,0.9004329004328996,0.8191808191808192,0.9287379287379287,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,1,2,0.25,789,-0.0002512664777302977,0.0005984480632026945,0.000822280402083022,0.005069708491761723,0.0015244060911275032,0.001524406091127601,0.021160525128676857,0.0015958490933755504,0.0018406372517347318,0.021170814869823865,0.005908733991615673,-0.0049839382389199145,1.1102230246251565e-16,0.8701298701298679,0.8498168498168498,0.8947718947718948,0.9024309024309012,0.8221778221778222,0.9270729270729271,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
logit_action_mean,1,2,0.25,789,,,,,0.023863029210637623,0.042014443261102236,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
